song names,song genre
Saran Pack - Tay-K,"['cali rap', 'dfw rap', 'rap', 'trap']"
Walkin - Denzel Curry,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
Party And Bullshit - The Notorious B.I.G.,[]
This Side - EARTHGANG,"['atl hip hop', 'hip hop', 'indie hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
Rain - JayO Sama,['florida rap']
New Gold (feat. Tame Impala and Bootie Brown) - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
Little Dark Age - MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
Dawg House - Ray Vaughn,[]
ATLiens - Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
"So Fresh, So Clean - Outkast","['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Hey Ya! - Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Mr. Morale - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Black Friday - The Kendrick,[]
Swim Good - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
19-2000 - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
3 Below - SAINt JHN,"['melodic rap', 'slap house']"
The Highs & The Lows - Chance the Rapper,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Roses - Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Famous - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Kids - MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
Just What I Am - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Ghost Town - Kanye West,"['chicago rap', 'hip hop', 'rap']"
True Love - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Biking - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
In My Room - Frank Ocean,"['lgbtq+ hip hop', 'neo soul']"
Where Is The Love? - Black Eyed Peas,"['dance pop', 'pop', 'pop rap']"
California Love - Original Version - 2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
N95 - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Silent Hill - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Paul Chomedey de Mainsoneuve - Young Ratoo,[]
Jealous - YG,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Nikes On My Feet - Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Could You Be Loved - Bob Marley & The Wailers,"['reggae', 'roots reggae']"
Rainbow in the Sky - Ziggy Marley,"['reggae', 'roots reggae']"
Embrace the Martian - Crookers,['fidget house']
Retro (Rough) - Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
IV. Sweatpants - Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
3005 - Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
Redbone - Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
Paper Planes - M.I.A.,"['escape room', 'indietronica', 'new rave']"
Symphonies - Bonus Track - Dan Black,['uk alternative pop']
Let Me Out (feat. Mavis Staples & Pusha T) - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
By Design - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
The Less I Know The Better - Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
Empire Ants (feat. Little Dragon) - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
She's My Collar (feat. Kali Uchis) - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
If I Ruled the World (Imagine That) (feat. Lauryn Hill) - Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
Wat U Sed (feat. Doechii & Kal Banx) - Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']"
UOENO - Black Hippy,['underground hip hop']
Hard Work Pays Off - Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Scott Mescudi Vs. The World - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Baptized In Fire - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
That Tree - Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
Leader Of The Delinquents - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Ride - Aaron May,[]
Self Care - Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
"I'm Good Luv, Enjoy. - Aaron May",[]
Father Stretch My Hands Pt. 1 - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Needs - Kota the Friend,['underground hip hop']
ORANGE SODA - Baby Keem,"['hip hop', 'rap']"
A.D.H.D - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Had Enough (feat. Quavo & Offset) - Don Toliver,"['pop rap', 'rap', 'trap']"
Off The Grid - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Waves - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Jimmy Jimmy (feat. AJ Tracey) - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
Fountains (with Tems) - Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
Ms. Jackson - Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Fair Trade (with Travis Scott) - Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
The Recipe (Black Hippy Remix) - Bonus Track - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Money Trees - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Mr. Rager - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
No Guns Allowed (feat. Drake & Cori B.) - Snoop Lion,['reggae fusion']
Heart of a Giant (with Rod Wave) - Polo G,"['chicago rap', 'rap']"
Poetic Justice - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
All Falls Down - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Rhinestone Eyes - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
The Way Life Goes (feat. Oh Wonder) - Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Erase Me - Main - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
3 Headed Snake (feat. Young Thug) - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
3 Headed Goat (feat. Lil Baby & Polo G) - Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']"
Now Or Never - Bonus Track - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Violent Crimes - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Leave Me Alone - Pouya,"['aesthetic rap', 'cloud rap', 'dark trap', 'miami hip hop', 'underground hip hop']"
Solid (feat. Drake) - Young Stoner Life,['pop rap']
Weekend (feat. Miguel) - Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Wish - Diplo,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
Soundtrack 2 My Life - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
"Bitch, Don’t Kill My Vibe - Kendrick Lamar","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Casper - Takeoff,"['atl hip hop', 'rap', 'trap']"
Knock Knock - Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
Sad People - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Big Poppa - 2007 Remaster - The Notorious B.I.G.,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
Locked Up - Akon,['dance pop']
Ridin (feat. Landon Cube & YBN Nahmir) - Yung Bans,"['cloud rap', 'plugg', 'trap', 'underground hip hop']"
way back - Travis Scott,"['hip hop', 'rap', 'slap house']"
"Medication (ft. Stephen Marley, Wiz Khalifa, Ty Dolla $ign) - Remix - Damian Marley","['reggae', 'reggae fusion']"
Brand New Draco - 21 Savage,"['atl hip hop', 'hip hop', 'rap']"
Yah Mean - Playboi Carti,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
ONE WATCH (feat. Young Thug) - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
When I Call - JayO Sama,['florida rap']
Narrow Road (feat. Lil Baby) - NLE Choppa,"['memphis hip hop', 'rap']"
Eye Open - JayO Sama,['florida rap']
Mood Swings (feat. Lil Tjay) - Pop Smoke,"['brooklyn drill', 'rap']"
infinity (888) - XXXTENTACION,"['emo rap', 'miami hip hop', 'rap']"
Bound 2 - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Martin & Gina - Polo G,"['chicago rap', 'rap']"
I Know - Polo G,"['chicago rap', 'rap']"
Heartless (feat. Mustard) - Polo G,"['chicago rap', 'rap']"
21 - Polo G,"['chicago rap', 'rap']"
Stay High - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
I Want It - Juice WRLD,"['chicago rap', 'melodic rap', 'rap']"
"Guwop (feat. Quavo, Offset and Young Scooter) - Young Thug","['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
DARE - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
VULTURES CRY 2 (feat. WizDaWizard and Mike Smiff) - Kodak Black,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
Kitchen - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
a lot - 21 Savage,"['atl hip hop', 'hip hop', 'rap']"
Pursuit Of Happiness (Nightmare) - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
DOLLAZ ON MY HEAD (feat. Young Thug) - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
ARGENTINA - Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
"If I'm Lyin', I'm Flyin' - Kodak Black","['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
On Melancholy Hill - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
You Sleep - JayO Sama,['florida rap']
Hide (feat. Seezyn) - Juice WRLD,[]
What It Is - JayO Sama,['florida rap']
Florida Boy - JayO Sama,['florida rap']
